game,claude-3-7-sonnet-20250219,gemini-2.5-flash-preview-04-17,gemini-2.5-pro-preview-05-06,gpt-4o,gpt-4o-mini
block-stack,0.0,0.0,0.0,0.0,0.0
brick-buster,0.0,0.0,0.0,0.0,0.0
bullseye,0.0,0.0,0.0,0.0,0.0
button-hold,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0
buttons,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
calendar-comprehension,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
calendar2,0.0,0.5,0.5,0.5,0.0
canvas-catch,0.0,0.0,0.0,0.0,0.0
chart-read,0.5,0.5,1.0,1.0,1.0
chart-transcribe,0.0,0.0,0.0,0.0,0.0
click-cubed,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
click-pixel,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
color-harmony,0.0,0.0,0.0,0.0,0.0
combination-lock,0.0,0.0,0.0,0.0,0.0
context-breaker,1.0,1.0,1.0,1.0,1.0
date,1.0,1.0,1.0,1.0,1.0
emoji-remember,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
file-credentials,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
file-upload,0.0,0.0,0.0,0.0,0.0
frog-crossing,0.0,0.0,0.0,0.0,0.0
herding,0.0,0.0,0.0,0.0,0.0
i-accept,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0
iframe-nest,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
illegal-material,1.0,1.0,1.0,1.0,1.0
key-combo,1.0,1.0,1.0,1.0,1.0
ladybird,0.0,0.3333333333333333,0.0,0.0,0.0
map-panner,0.0,0.0,0.0,0.0,0.0
maze,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
menu-navigator,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
otp-entry,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
patience,1.0,1.0,1.0,1.0,1.0
pixel-copy,0.5,0.0,0.0,0.0,0.0
popup-chaos,1.0,1.0,1.0,1.0,1.0
prompt-defender,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
recipe-calculator,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
right-click,0.0,0.0,0.0,0.0,0.0
robo-check,0.0,0.0,0.0,0.0,0.0
scroll-diagonal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
scroll-horizontal,0.0,0.0,0.0,0.0,0.0
scroll-vertical,1.0,1.0,1.0,1.0,0.3333333333333333
shop-admin,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
shopping-challenge,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
slider-symphony,0.0,0.0,0.0,0.0,0.0
stock-market,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
tab-sync,0.0,0.0,0.0,0.0,0.0
text-mirror,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
towers-of-hanoi,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
verify-challenge,0.5,0.5,0.5,0.5,0.5
webgl-text,1.0,1.0,1.0,1.0,1.0
wolf-goat-cabbage,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
