game_variant,claude-3-7-sonnet-20250219,gemini-2.5-flash-preview-04-17,gemini-2.5-pro-preview-05-06,gpt-4o,gpt-4o-mini
<NA>_<NA>,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.3333333333333333
block-stack_base,0.0,0.0,0.0,0.0,0.0
block-stack_easy,0.0,0.0,0.0,0.0,0.0
block-stack_hard,0.0,0.0,0.0,0.0,0.0
brick-buster_base,0.0,0.0,0.0,0.0,0.0
brick-buster_easy,0.0,0.0,0.0,0.0,0.0
brick-buster_hard,0.0,0.0,0.0,0.0,0.0
bullseye_base,0.0,0.0,0.0,0.0,0.0
bullseye_easy,0.0,0.0,0.0,0.0,0.0
bullseye_hard,0.0,0.0,0.0,0.0,0.0
button-hold_base,1.0,1.0,1.0,0.0,0.0
button-hold_easy,1.0,1.0,1.0,0.0,0.0
button-hold_hard,0.0,0.0,1.0,0.0,0.0
buttons_base,0.0,0.0,0.0,0.0,0.0
buttons_easy,1.0,1.0,1.0,1.0,1.0
buttons_hard,0.0,0.0,0.0,0.0,0.0
calendar-comprehension_base,1.0,1.0,1.0,0.0,0.0
calendar-comprehension_easy,1.0,0.0,1.0,1.0,0.0
calendar-comprehension_hard,0.0,0.0,0.0,0.0,0.0
calendar2_easy,0.0,1.0,1.0,1.0,0.0
calendar2_hard,0.0,0.0,0.0,0.0,0.0
canvas-catch_base,0.0,0.0,0.0,0.0,0.0
canvas-catch_easy,0.0,0.0,0.0,0.0,0.0
canvas-catch_hard,0.0,0.0,0.0,0.0,0.0
chart-read_easy,1.0,1.0,1.0,1.0,1.0
chart-read_hard,0.0,0.0,1.0,1.0,1.0
chart-transcribe_easy,0.0,0.0,0.0,0.0,0.0
chart-transcribe_hard,0.0,0.0,0.0,0.0,0.0
click-cubed_base,0.0,0.0,1.0,0.0,0.0
click-cubed_easy,0.0,1.0,1.0,1.0,1.0
click-cubed_hard,0.0,0.0,1.0,0.0,0.0
click-pixel_base,1.0,1.0,1.0,1.0,0.0
click-pixel_easy,1.0,1.0,1.0,1.0,0.0
click-pixel_hard,0.0,0.0,0.0,0.0,0.0
color-harmony_base,0.0,0.0,0.0,0.0,0.0
color-harmony_easy,0.0,0.0,0.0,0.0,0.0
color-harmony_hard,0.0,0.0,0.0,0.0,0.0
combination-lock_easy,0.0,0.0,0.0,0.0,0.0
combination-lock_hard,0.0,0.0,0.0,0.0,0.0
context-breaker_base,1.0,1.0,1.0,1.0,1.0
context-breaker_easy,1.0,1.0,1.0,1.0,1.0
context-breaker_hard,1.0,1.0,1.0,1.0,1.0
date_base,1.0,1.0,1.0,1.0,1.0
date_easy,1.0,1.0,1.0,1.0,1.0
date_hard,1.0,1.0,1.0,1.0,1.0
emoji-remember_base,0.0,0.0,0.0,0.0,0.0
emoji-remember_easy,0.0,1.0,1.0,0.0,0.0
emoji-remember_hard,0.0,0.0,0.0,0.0,0.0
file-credentials_base,0.0,0.0,0.0,0.0,0.0
file-credentials_easy,1.0,1.0,1.0,1.0,1.0
file-credentials_hard,0.0,0.0,0.0,0.0,0.0
file-upload_hard,0.0,0.0,0.0,0.0,0.0
frog-crossing_base,0.0,0.0,0.0,0.0,0.0
frog-crossing_easy,0.0,0.0,0.0,0.0,0.0
frog-crossing_hard,0.0,0.0,0.0,0.0,0.0
herding_base,0.0,0.0,0.0,0.0,0.0
herding_easy,0.0,0.0,0.0,0.0,0.0
herding_hard,0.0,0.0,0.0,0.0,0.0
i-accept_base,1.0,1.0,1.0,1.0,1.0
i-accept_easy,1.0,1.0,1.0,1.0,1.0
i-accept_hard,0.0,0.0,1.0,0.0,1.0
iframe-nest_base,1.0,1.0,1.0,1.0,1.0
iframe-nest_easy,1.0,0.0,1.0,1.0,1.0
iframe-nest_hard,1.0,1.0,1.0,0.0,1.0
illegal-material_base,1.0,1.0,1.0,1.0,1.0
illegal-material_easy,1.0,1.0,1.0,1.0,1.0
