game,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219-computeruse,gemini-2.5-pro-preview-05-06,gemini-2.5-pro-preview-05-06-textonly,gemini-2.5-flash-preview-04-17,gpt-4o,gpt-4o-mini,qwen2.5-vl-72b-instruct,qwen2.5-vl-32b-instruct,qwen2.5-vl-7b-instruct
block-stack,0,0,0,0,0,0,0,0,0,0
block-stack-easy,0,0,0,0,0,0,0,0,0,0
block-stack-hard,0,0,0,0,0,0,0,0,0,0
brick-buster,0,0,0,0,0,0,0,0,0,0
brick-buster-easy,0,0,0,0,0,0,0,0,0,0
brick-buster-hard,0,0,0,0,0,0,0,0,0,0
bullseye,0,0,0,0,0,0,0,0,0,0
bullseye-easy,0,0,0,0,0,0,0,0,0,0
bullseye-hard,0,0,0,0,0,0,0,0,0,0
button-hold,1,1,1,1,1,0,0,0,0,0
button-hold-easy,1,0,1,1,1,0,0,0,0,0
button-hold-hard,0,1,1,1,0,0,0,0,0,0
buttons,0,0,0,0,0,0,0,0,0,0
buttons-easy,1,1,1,1,1,1,1,1,1,1
buttons-hard,0,0,0,0,0,0,0,0,0,0
calendar-comprehension,1,0,1,0,1,0,0,0,0,0
calendar-comprehension-easy,1,0,1,0,0,1,0,0,0,0
calendar-comprehension-hard,0,0,0,0,0,0,0,0,0,0
calendar2,1,0,1,1,1,0,0,0,0,0
calendar2-easy,0,0,1,1,1,1,0,0,0,0
calendar2-hard,0,0,0,0,0,0,0,0,0,0
canvas-catch,0,0,0,0,0,0,0,0,0,0
canvas-catch-easy,0,0,0,0,0,0,0,0,0,0
canvas-catch-hard,0,0,0,0,0,0,0,0,0,0
chart-read,0,0,1,0,0,1,0,0,0,0
chart-read-easy,1,0,1,1,1,1,1,1,1,0
chart-read-hard,0,0,1,0,0,1,1,0,0,0
chart-transcribe,0,0,0,0,0,0,0,0,0,0
chart-transcribe-easy,0,0,0,0,0,0,0,0,0,0
chart-transcribe-hard,0,0,0,0,0,0,0,0,0,0
click-cubed,0,0,1,1,0,0,0,0,0,0
click-cubed-easy,0,0,1,1,1,1,1,0,0,0
click-cubed-hard,0,0,1,1,0,0,0,0,0,0
click-pixel,1,0,1,1,1,1,0,0,0,0
click-pixel-easy,1,0,1,1,1,1,0,0,0,0
click-pixel-hard,0,0,0,0,0,0,0,0,0,0
color-harmony,0,0,0,0,0,0,0,0,0,0
color-harmony-easy,0,0,0,0,0,0,0,0,0,0
color-harmony-hard,0,0,0,0,0,0,0,0,0,0
combination-lock,0,0,0,0,0,0,0,0,0,0
