model,difficulty,success_rate
claude-3-7-sonnet-20250219,easy,0.5
claude-3-7-sonnet-20250219,base,0.4576271186440678
claude-3-7-sonnet-20250219,hard,0.21333333333333335
claude-3-7-sonnet-20250219-computeruse,easy,0.25
claude-3-7-sonnet-20250219-computeruse,base,0.15254237288135594
claude-3-7-sonnet-20250219-computeruse,hard,0.14666666666666667
gemini-2.5-pro-preview-05-06,easy,0.5921052631578947
gemini-2.5-pro-preview-05-06,base,0.4576271186440678
gemini-2.5-pro-preview-05-06,hard,0.29333333333333333
gemini-2.5-pro-preview-05-06-textonly,easy,0.5263157894736842
gemini-2.5-pro-preview-05-06-textonly,base,0.3728813559322034
gemini-2.5-pro-preview-05-06-textonly,hard,0.22666666666666666
gemini-2.5-flash-preview-04-17,easy,0.5394736842105263
gemini-2.5-flash-preview-04-17,base,0.3898305084745763
gemini-2.5-flash-preview-04-17,hard,0.18666666666666668
gpt-4o,easy,0.5526315789473685
gpt-4o,base,0.2711864406779661
gpt-4o,hard,0.18666666666666668
gpt-4o-mini,easy,0.3684210526315789
gpt-4o-mini,base,0.23728813559322035
gpt-4o-mini,hard,0.2
qwen2.5-vl-72b-instruct,easy,0.3026315789473684
qwen2.5-vl-72b-instruct,base,0.1864406779661017
qwen2.5-vl-72b-instruct,hard,0.13333333333333333
qwen2.5-vl-32b-instruct,easy,0.3157894736842105
qwen2.5-vl-32b-instruct,base,0.15254237288135594
qwen2.5-vl-32b-instruct,hard,0.09333333333333334
qwen2.5-vl-7b-instruct,easy,0.18421052631578946
qwen2.5-vl-7b-instruct,base,0.06779661016949153
qwen2.5-vl-7b-instruct,hard,0.02666666666666667
