game,technical_fluency,realtime_responsiveness,adversarial_resistance,cognitive_abilities,visual_comprehension
date,1.0,,,,
datehard,1.0,,,,
buttons-easy,0.4,,0.4,,0.2
patience,,1.0,,,
patience-easy,,1.0,,,
patience-hard,,1.0,,,
i-accept-easy,,,1.0,,
button-hold,0.5,0.5,,,
key-combo,1.0,,,,
key-combo-easy,1.0,,,,
button-hold-hard,0.5,0.5,,,
key-combo-hard,1.0,,,,
scroll-vertical-easy,1.0,,,,
scroll-vertical,1.0,,,,
scroll-vertical-hard,1.0,,,,
scroll-horizontal-easy,1.0,,,,
scroll-horizontal-hard,1.0,,,,
illegal-material-easy,,,1.0,,
prompt-defender-easy,,,1.0,,
prompt-defender-hard,,,1.0,,
prompt-defender,,,1.0,,
context-breaker,1.0,,,,
context-breaker-hard,1.0,,,,
context-breaker-easy,1.0,,,,
scroll-diagonal-easy,1.0,,,,
iframe-nest-easy,1.0,,,,
right-click,1.0,,,,
right-click-easy,1.0,,,,
map-panner-easy,0.5,,,,0.5
stock-market-easy,,,,0.3,0.7
stock-market-hard,,,,0.3,0.7
