game,technical_fluency,realtime_responsiveness,adversarial_resistance,cognitive_abilities,visual_comprehension
datehard,1.0,,,,
date,1.0,,,,
dateeasy,1.0,,,,
click-cubed-easy,,0.9,,,0.1
buttons-easy,0.4,,0.4,,0.2
patience,,1.0,,,
patience-easy,,1.0,,,
patience-hard,,1.0,,,
i-accept,,,1.0,,
emoji-remember-easy,,,,1.0,
i-accept-easy,,,1.0,,
wolf-goat-cabbage-easy,,,,0.8,0.2
text-mirror,1.0,,,,
text-mirror-easy,1.0,,,,
button-hold,0.5,0.5,,,
key-combo,1.0,,,,
button-hold-easy,0.5,0.5,,,
key-combo-easy,1.0,,,,
key-combo-hard,1.0,,,,
scroll-vertical,1.0,,,,
scroll-vertical-easy,1.0,,,,
webgl-text,0.5,,,,0.5
scroll-vertical-hard,1.0,,,,
webgl-text-easy,0.5,,,,0.5
webgl-text-hard,0.5,,,,0.5
file-credentials-easy,1.0,,,,
menu-navigator-easy,,,,1.0,
menu-navigator,,,,1.0,
menu-navigator-hard,,,,1.0,
popup-chaos-easy,1.0,,,,
chart-read-easy,,,,0.2,0.8
popup-chaos-hard,1.0,,,,
illegal-material,,,1.0,,
illegal-material-easy,,,1.0,,
illegal-material-hard,,,1.0,,
prompt-defender-easy,,,1.0,,
prompt-defender-hard,,,1.0,,
shopping-challenge-easy,0.1,,,0.9,
context-breaker,1.0,,,,
context-breaker-easy,1.0,,,,
context-breaker-hard,1.0,,,,
scroll-diagonal-easy,1.0,,,,
iframe-nest,1.0,,,,
iframe-nest-hard,1.0,,,,
otp-entry,1.0,,,,
otp-entry-easy,1.0,,,,
ladybird-easy,,,,1.0,
calendar-comprehension,,,,0.7,0.3
shop-admin-easy,,,,1.0,
shop-admin,,,,1.0,
stock-market-easy,,,,0.3,0.7
stock-market,,,,0.3,0.7
verify-challenge-easy,,,1.0,,
stock-market-hard,,,,0.3,0.7
calendar2-easy,0.1,,0.4,0.5,
click-pixel,0.5,,,,0.5
click-pixel-easy,0.5,,,,0.5
