game,technical_fluency,realtime_responsiveness,adversarial_resistance,cognitive_abilities,visual_comprehension
date,1.0,,,,
dateeasy,1.0,,,,
datehard,1.0,,,,
buttons-easy,0.4,,0.4,,0.2
click-cubed,,0.9,,,0.1
patience,,1.0,,,
click-cubed-easy,,0.9,,,0.1
patience-easy,,1.0,,,
click-cubed-hard,,0.9,,,0.1
patience-hard,,1.0,,,
emoji-remember-easy,,,,1.0,
i-accept,,,1.0,,
i-accept-easy,,,1.0,,
wolf-goat-cabbage-easy,,,,0.8,0.2
wolf-goat-cabbage,,,,0.8,0.2
towers-of-hanoi-easy,,,,0.6,0.4
i-accept-hard,,,1.0,,
text-mirror-easy,1.0,,,,
text-mirror,1.0,,,,
key-combo,1.0,,,,
button-hold-easy,0.5,0.5,,,
button-hold,0.5,0.5,,,
key-combo-easy,1.0,,,,
key-combo-hard,1.0,,,,
scroll-vertical-easy,1.0,,,,
button-hold-hard,0.5,0.5,,,
scroll-vertical-hard,1.0,,,,
webgl-text,0.5,,,,0.5
scroll-vertical,1.0,,,,
webgl-text-easy,0.5,,,,0.5
webgl-text-hard,0.5,,,,0.5
file-credentials-easy,1.0,,,,
menu-navigator-easy,,,,1.0,
menu-navigator-hard,,,,1.0,
popup-chaos-easy,1.0,,,,
chart-read-easy,,,,0.2,0.8
popup-chaos-hard,1.0,,,,
illegal-material,,,1.0,,
illegal-material-easy,,,1.0,,
chart-read-hard,,,,0.2,0.8
illegal-material-hard,,,1.0,,
prompt-defender-easy,,,1.0,,
shopping-challenge-easy,0.1,,,0.9,
context-breaker,1.0,,,,
context-breaker-easy,1.0,,,,
context-breaker-hard,1.0,,,,
scroll-diagonal-easy,1.0,,,,
iframe-nest-easy,1.0,,,,
iframe-nest,1.0,,,,
iframe-nest-hard,1.0,,,,
otp-entry,1.0,,,,
otp-entry-easy,1.0,,,,
otp-entry-hard,1.0,,,,
calendar-comprehension-easy,,,,0.7,0.3
calendar-comprehension,,,,0.7,0.3
shop-admin-easy,,,,1.0,
shop-admin,,,,1.0,
recipe-calculator,1.0,,,,
stock-market,,,,0.3,0.7
stock-market-easy,,,,0.3,0.7
verify-challenge-easy,,,1.0,,
stock-market-hard,,,,0.3,0.7
click-pixel,0.5,,,,0.5
calendar2-easy,0.1,,0.4,0.5,
click-pixel-easy,0.5,,,,0.5
