game,technical_fluency,realtime_responsiveness,adversarial_resistance,cognitive_abilities,visual_comprehension
buttons-easy,0.4,,0.4,,0.2
i-accept,,,1.0,,
i-accept-easy,,,1.0,,
scroll-vertical-easy,1.0,,,,
scroll-vertical,1.0,,,,
popup-chaos-easy,1.0,,,,
illegal-material-easy,,,1.0,,
prompt-defender-easy,,,1.0,,
context-breaker-easy,1.0,,,,
context-breaker,1.0,,,,
scroll-diagonal-easy,1.0,,,,
context-breaker-hard,1.0,,,,
iframe-nest,1.0,,,,
iframe-nest-easy,1.0,,,,
iframe-nest-hard,1.0,,,,
stock-market-easy,,,,0.3,0.7
verify-challenge-easy,,,1.0,,
