game,technical_fluency,realtime_responsiveness,adversarial_resistance,cognitive_abilities,visual_comprehension
date,1,,,,
buttons,0.4,,0.4,,0.2
click-cubed,,0.9,,,0.1
patience,,1,,,
slider-symphony,0.2,,,,0.8
emoji-remember,,,,1,
bullseye,,1,,,
i-accept,,,1,,
wolf-goat-cabbage,,,,0.8,0.2
towers-of-hanoi,,,,0.6,0.4
color-harmony,0.1,,,,0.9
herding,0.1,0.6,,,0.3
file-upload,1,,,,
canvas-catch,0.5,,,,0.5
brick-buster,,0.5,,,0.5
text-mirror,1,,,,
frog-crossing,,0.5,,,0.5
button-hold,0.5,0.5,,,
key-combo,1,,,,
scroll-vertical,1,,,,
scroll-horizontal,1,,,,
webgl-text,0.5,,,,0.5
file-credentials,1,,,,
webs-assemble,1,,,,
menu-navigator,,,,1,
popup-chaos,1,,,,
chart-read,,,,0.2,0.8
chart-transcribe,,,,0.2,0.8
combination-lock,0.4,,,0.6,
pixel-copy,,,,,1
illegal-material,,,1,,
prompt-defender,,,1,,
shopping-challenge,0.1,,,0.9,
maze/*,,,,1,
context-breaker,1,,,,
scroll-diagonal,1,,,,
block-stack,0.1,0.2,,0.3,0.3
iframe-nest,1,,,,
tab-sync,1,,,,
otp-entry,1,,,,
print-reveal,1,,,,
robo-check,,,1,,
right-click,1,,,,
calendar-comprehension,,,,0.7,0.3
map-panner,0.5,,,,0.5
ladybird,,,,1,
shop-admin,,,,1,
recipe-calculator,1,,,,
calendar2,0.1,,0.4,0.5,
stock-market,,,,0.3,0.7
verify-challenge,,,1,,
resume-challenge,,,0.5,,0.5
click-pixel,0.5,,,,0.5
